geo,statistics,AA_rate
92675,89,23.71
92677,141,22.4
92679,46,14.46
92683,299,32.87
92688,126,33.43
92691,115,24.93
92692,106,21.7
92694,63,33.25
92701,268,41.89
92703,300,40.87
92704,334,32.74
92705,120,26.15
92706,127,33.15
92707,277,40.02
92708,145,25.73
92780,191,31.28
92782,37,17.84
92801,359,58.43
92802,203,43.12
92804,427,46.93
92805,369,48.27
92806,158,42.45
92807,84,24.1
92808,39,22.82
92821,112,33.14
92831,128,38.51
92832,124,46.32
92833,215,42.34
92835,59,26.98
92840,229,41.16
92841,135,42
92843,183,38.09
92844,59,23.67
92845,33,21.29
92860,80,30.37
92865,59,30.74
92866,39,25.6
92867,132,29.42
92868,121,48.17
92869,101,26.03
92870,143,27.67
92879,175,33.01
92880,158,25.58
92881,107,31.79
92882,196,26.67
92883,61,22
92886,102,22.99
92887,48,22.99
93001,123,36.08
93003,228,46.76
93004,115,39.4
93010,175,39.8
93012,82,25.62
93013,42,25.07
93015,37,18.8
93021,86,23.87
93022,20,30.24
93023,59,25.59
93030,387,63.1
93033,377,45.94
93035,118,43.76
93036,158,40.56
93041,95,48.73
93060,139,40.57
93063,196,36.22
93065,318,44.99
93101,103,33.39
93103,86,46.42
93105,47,19.24
93109,21,21.34
93110,36,26.95
93111,53,32.53
93117,117,30.73
93202,33,158.46
93203,48,20.28
93204,39,27.45
93205,15,107.04
93210,104,56.31
93212,154,66.82
93215,224,40.1
93219,61,41.6
93221,55,34.12
93223,66,74.71
93225,13,16.07
93230,718,107.65
93234,38,28.74
93235,36,64.26
93240,37,74.51
93241,68,35.29
93242,33,102.06
93245,225,56.06
93247,85,43.84
93250,81,51.24
93256,34,66.21
93257,397,51.94
93263,48,22.66
93265,13,31.64
93267,28,42.2
93268,48,25.61
93270,22,28.86
93272,19,49.9
93274,655,87.12
93277,241,46.95
93280,85,31.87
93285,12,21.66
93286,50,46.76
93291,313,63.74
93292,189,47.63
93301,154,109.2
93304,433,80.57
93305,317,79.2
93306,325,50.88
93307,517,62.29
93308,295,54.4
93309,374,59.9
93311,126,35.19
93312,175,30.35
93313,172,43.9
93314,47,26.45
93401,80,32.55
93402,40,35.13
93405,42,14.35
93420,76,31.36
93422,98,32.4
93428,15,25.07
93433,45,35.55
93434,33,45.29
93436,272,49.1
93437,14,37.79
93442,26,29.54
93444,44,25.87
93445,27,32.46
93446,196,45.68
93449,21,22.79
93451,22,118.58
93454,184,56.77
93455,91,24.85
93458,192,35.34
93460,14,31.1
93463,21,26.94
93465,32,38.7
93501,43,78.1
93505,79,56.9
93510,24,32.77
93514,53,36.93
93516,18,87.9
93527,14,62.61
93534,568,137.24
93535,729,95.74
93536,369,49.45
93543,92,75.21
93546,25,33.53
93550,599,77.78
93551,177,34.83
93552,200,53.26
93555,250,81.83
93560,123,66.06
93561,123,36.12
93562,15,74.31
93591,42,58.26
93602,17,53.63
93608,13,53.15
93609,42,69.05
93610,146,62.59
93611,162,34.65
93612,265,69.91
93614,38,41.56
93615,30,51.45
93616,17,87.61
93618,157,48.05
93619,72,22.77
93620,95,88.64
93622,59,40.16
93625,46,65.91
93630,105,51.91
93631,109,64.68
93635,312,72.89
93636,31,29.04
93637,291,75.83
93638,517,94.08
93640,53,38.34
93644,18,17.92
93646,80,69.22
93647,37,29.96
93648,108,66.12
93650,53,125.27
93654,141,43.83
93656,54,76.07
93657,213,56.3
93660,24,31.85
93662,312,90.99
93675,19,48.34
93701,182,117.08
93702,558,104.55
93703,324,89.6
93704,216,82.54
93705,434,97.13
93706,539,136.08
93710,211,72.56
93711,119,37.48
93720,178,38.55
93721,77,112.71
93722,574,75.18
93723,31,42.15
93725,188,74.62
93726,372,90.8
93727,479,67.97
93728,152,84.3
93730,17,18.74
93901,219,81.26
93905,434,56.21
93906,349,55.12
93907,98,44.99
93908,20,13.12
93926,22,26.55
93927,58,35.85
93930,43,30.08
93933,121,55.66
93940,77,27.82
93950,36,28.48
93955,194,56.05
93960,42,19.53
94002,60,25.23
94005,17,54.3
94010,114,29.18
94014,307,63.9
94015,339,54.13
94019,57,32.01
94022,14,7.86
94024,19,10.28
94025,89,22.83
94030,75,36.51
94040,59,19.26
94041,22,15.63
94043,70,28.94
94044,192,51.02
94061,143,40.84
94062,59,22.97
94063,221,65.83
94065,21,18.6
94066,221,54.32
94070,69,24.24
94080,365,57.07
94085,71,36.13
94086,104,23.34
94087,63,11.97
94089,47,26.44
94102,238,72.04
94103,159,61.72
94107,69,45.62
94108,36,27.14
94109,222,49.22
94110,385,60.35
94111,25,44.12
94112,354,49.17
94114,67,25.11
94115,171,66.89
94116,85,23.56
94117,122,43.9
94118,71,24.4
94121,94,28.54
94122,129,25.94
94123,25,17.5
94124,381,113.74
94127,43,32.53
94130,37,228.96
94131,80,31.07
94132,77,26.63
94133,70,29.86
94134,266,63.68
94301,13,7.77
94303,276,55.32
94306,28,13.01
94401,180,56.49
94402,61,25.07
94403,156,40.22
94404,67,21.37
94501,321,59.56
94502,37,30.04
94503,103,69.93
94505,36,28.39
94506,44,17.92
94507,34,23.68
94509,884,135.02
94510,85,32.34
94513,296,53.47
94514,26,213.32
94517,37,27.86
94518,181,64.39
94519,148,76.2
94520,395,99.06
94521,189,44.79
94523,142,41.19
94525,14,36.15
94526,76,24.62
94530,82,41.69
94531,312,82.64
94533,668,97.27
94534,126,35.66
94536,382,55.78
94538,385,67.35
94539,98,22.14
94541,652,104.68
94542,50,39.2
94544,735,96.45
94545,321,114.93
94546,238,58.94
94547,135,65.79
94549,60,22.88
94550,194,42.73
94551,100,30.07
94552,40,26.37
94553,317,66.23
94555,139,43.69
94556,25,17.5
94558,268,41.6
94559,124,43.04
94560,232,54.04
94561,262,70.07
94563,27,17.83
94564,100,56.43
94565,1088,126.61
94566,118,30.61
94568,171,44.34
94571,34,39.31
94572,94,111.29
94574,22,23.24
94577,304,71.05
94578,356,91.97
94579,128,66.11
94580,206,78.77
94582,123,40.38
94583,122,38.31
94585,221,81.21
94587,480,67.09
94588,84,27.13
94589,312,100.05
94590,461,118.35
94591,375,68.05
94595,49,42.12
94596,62,30.36
94597,56,26.68
94598,42,17.97
94601,589,100.29
94602,174,58.7
94603,543,156.38
94605,574,137.15
94606,355,86.86
94607,446,183.53
94608,370,135.54
94609,271,144.19
94610,131,49.24
94611,123,38.2
94612,179,143.31
94618,38,27.03
94619,209,77.89
94621,492,153.07
94702,136,93.29
94703,216,113.77
94704,40,49.79
94705,31,30.12
94706,67,45.55
94707,15,14.56
94708,21,21.89
94709,17,32
94710,60,73.16
94801,394,123.35
94803,147,62.04
94804,497,123.37
94805,123,89.72
94806,576,91.72
94901,123,29.76
94903,79,30.16
94904,17,13.93
94920,20,19.11
94925,27,32.18
94928,160,39.42
94930,23,34.39
94931,33,38.78
94939,12,19.05
94941,49,19.27
94945,48,28.23
94947,94,38.39
94949,83,53.26
94951,17,44.26
94952,118,37.25
94954,142,38.67
94960,27,15.38
94965,19,20.14
95003,30,13.27
95005,14,17.84
95006,17,18.13
95008,105,24.02
95010,22,26.56
95012,50,52.91
95014,66,11.65
95018,22,24.52
95019,63,66.12
95020,333,55.45
95023,256,48.76
95030,24,20.9
95032,50,23.1
95033,18,22.25
95035,157,24.16
95037,190,41.66
95046,19,29.04
95050,90,25.77
95051,119,23.84
95054,46,26.65
95060,112,25.69
95062,104,31.9
95065,14,17.86
95066,19,15.84
95070,30,8.89
95073,14,12.78
95076,427,48.2
95110,75,40.05
95111,294,47.48
95112,316,54.56
95113,15,169.3
95116,350,63.02
95117,139,42.53
95118,107,32.32
95119,43,43.35
95120,64,20.15
95121,113,31.76
95122,298,49.34
95123,220,37.74
95124,141,29.66
95125,157,30.54
95126,152,49.06
95127,281,45.32
95128,111,34.28
95129,58,16.24
95130,47,34.26
95131,70,26.41
95132,107,26.44
95133,95,35.21
95134,50,29.5
95135,52,24.18
95136,122,30.15
95138,59,41.84
95139,25,39.78
95148,121,27.01
95202,134,206.74
95203,206,116.63
95204,167,58.98
95205,311,79.34
95206,498,76.73
95207,346,67.36
95209,200,49.14
95210,260,56.19
95212,112,67.73
95215,112,45.19
95219,91,33.57
95220,18,24.07
95222,16,27.8
95223,12,19.84
95231,32,68.99
95240,193,38.84
95242,53,20.21
95249,35,99.03
95252,42,34.12
95301,192,55.01
95304,64,45.83
95307,222,48.59
95310,15,100.87
95315,61,46.21
95316,16,24.65
95320,55,41.81
95322,44,49.31
95324,20,24.84
95326,41,42.81
95327,34,38.39
95330,125,71.06
95334,43,24.21
95336,326,76.28
95337,197,68.64
95338,50,48.36
95340,593,150.72
95341,229,63.42
95346,14,117.81
95348,282,87.62
95350,346,65.63
95351,347,73.45
95354,183,66.33
95355,326,55.14
95356,143,44.03
95357,51,37.65
95358,172,48.15
95360,55,40.14
95361,142,48.47
95363,88,27.27
95366,49,30.22
95367,125,58.49
95368,68,46.79
95370,143,61.6
95372,15,97.11
95376,539,98.97
95377,161,52.96
95379,17,36.96
95380,272,62.33
95382,108,31.81
95383,19,30.24
95386,50,44.57
95388,75,48.56
95391,39,46.39
95401,253,69.39
95403,216,51.49
95404,187,50.26
95405,84,42.58
95407,309,87.67
95409,78,37.13
95422,168,126.98
95423,28,96.68
95425,23,20.49
95436,17,29.83
95437,110,79.67
95446,22,36.34
95448,59,33.86
95451,51,47.18
95453,52,44.76
95457,30,78.08
95458,19,84.59
95460,14,50.12
95467,13,33.43
95470,19,33.59
95472,72,25.69
95476,81,25.27
95482,238,76.3
95485,15,57.08
95490,157,116.64
95492,117,43.54
95501,184,82.58
95503,112,46.88
